"Category","OldName","NewName"
"Autres produits","020-Aspirateur-cyclonique-puissant-6500.png","001-Aspirateur-cyclonique-puissant-6500.png"
"Autres produits","002-Matelas-gonflable-double-11000.jpg","002-Matelas-gonflable-double-11000.jpg"
"Autres produits","003-Matelas-gonflable-voiture-12000.png","003-Matelas-gonflable-voiture-12000.png"
"Autres produits","005-Lampe-de-camping-solaire-LED-3500.png","004-Lampe-de-camping-solaire-LED-3500.png"
"Autres produits","005-Lampe-murale-solaire-intelligente-7500.png","005-Lampe-murale-solaire-intelligente-7500.png"
"Autres produits","006-Lampe-solaire-d-exterieur-7500.png","006-Lampe-solaire-d-exterieur-7500.png"
"Autres produits","007-Lampe-solaire-haute-performance-3500.png","007-Lampe-solaire-haute-performance-3500.png"
"Autres produits","008-Lampe-solaire-portable-5500.png","008-Lampe-solaire-portable-5500.png"
"Autres produits","009-Projecteur-LED-solaire-7000.png","009-Projecteur-LED-solaire-7000.png"
"Autres produits","010-Projecteur-solaire-LED-puissant-6500.png","010-Projecteur-solaire-LED-puissant-6500.png"
"Autres produits","011-Ventilateur-LED-camping-3-en-1-5500.png","011-Ventilateur-LED-camping-3-en-1-5500.png"
"Autres produits","012-Bouteille-isotherme-3500.png","012-Bouteille-isotherme-3500.png"
"Autres produits","013-Bouteille-isotherme-acier-inoxydable-5000.png","013-Bouteille-isotherme-acier-inoxydable-5000.png"
"Autres produits","014-Gourde-isolee-sport-3000.png","014-Gourde-isolee-sport-3000.png"
"Autres produits","015-Gourde-isotherme-coloree-3000.png","015-Gourde-isotherme-coloree-3000.png"
"Autres produits","016-Cle-a-douilles-universelle-8-en-1-3000.png","016-Cle-a-douilles-universelle-8-en-1-3000.png"
"Autres produits","017-Devidoir-de-tuyau-portable-12000.png","017-Devidoir-de-tuyau-portable-12000.png"
"Autres produits","004-Pompe-a-air-electrique-compacte-2500.png","018-Pompe-a-air-electrique-compacte-2500.png"
"Autres produits","004-Pompe-a-main-puissante-polyvalente-2000.png","019-Pompe-a-main-puissante-polyvalente-2000.png"
"Beaute","004-Boucleur-automatique-rapide-7000.png","001-Boucleur-automatique-rapide-7000.png"
"Beaute","005-Boucleur-francais-30-secondes-6000.png","002-Boucleur-francais-30-secondes-6000.png"
"Beaute","003-Brosse-soufflante-3-en-1-6500.png","003-Brosse-soufflante-3-en-1-6500.png"
"Beaute","001-Hot-air-styler-5-en-1-7500.png","004-Hot-air-styler-5-en-1-7500.png"
"Beaute","002-Peigne-coiffant-3-en-1-3500.png","005-Peigne-coiffant-3-en-1-3500.png"
"Beaute","006-Seche-cheveux-sans-fil-2-en-1-8000.png","006-Seche-cheveux-sans-fil-2-en-1-8000.png"
"Beaute","007-Appareil-de-massage-raffermissant-4-en-1-5500.png","007-Appareil-de-massage-raffermissant-4-en-1-5500.png"
"Beaute","008-Bustier-amincissant-5000.png","008-Bustier-amincissant-5000.png"
"Beaute","009-Bustier-amincissant-sans-bretelles-5000.png","009-Bustier-amincissant-sans-bretelles-5000.png"
"Beaute","010-Eclairage-miroir-parfait-0000.png","010-Eclairage-miroir-parfait-0000.png"
"Beaute","011-Miroir-de-maquillage-LED-3000.png","011-Miroir-de-maquillage-LED-3000.png"
"Beaute","012-Organisateur-cosmetique-rotatif-360-7000.png","012-Organisateur-cosmetique-rotatif-360-7000.png"
"Beaute","013-Organisateur-maquillage-elegant-7500.png","013-Organisateur-maquillage-elegant-7500.png"
"Beaute","014-Support-de-manucure-avec-loupe-et-lumiere-5000.png","014-Support-de-manucure-avec-loupe-et-lumiere-5000.png"
"Cuisine","002-Blender-2-en-1-15000.png","001-Blender-2-en-1-15000.png"
"Cuisine","003-Hachoir-a-ail-rapide-2500.png","002-Hachoir-a-ail-rapide-2500.png"
"Cuisine","001-Hachoir-electrique-3L-8500.jpg","003-Hachoir-electrique-3L-8500.jpg"
"Cuisine","004-Hachoir-electrique-intelligent-sans-fil-2500.png","004-Hachoir-electrique-intelligent-sans-fil-2500.png"
"Cuisine","005-Hachoir-electrique-multifonction-9500.png","005-Hachoir-electrique-multifonction-9500.png"
"Cuisine","006-Hachoir-polyvalent-manuel-5000.png","006-Hachoir-polyvalent-manuel-5000.png"
"Cuisine","007-Mini-blender-portable-3500.png","007-Mini-blender-portable-3500.png"
"Cuisine","008-Mixeur-electrique-sans-fil-4000.png","008-Mixeur-electrique-sans-fil-4000.png"
"Cuisine","009-Mixeur-multifonction-6000.png","009-Mixeur-multifonction-6000.png"
"Cuisine","010-Moulin-multifonction-6000.png","010-Moulin-multifonction-6000.png"
"Cuisine","011-Batteur-a-oeufs-electrique-sans-fil-4500.png","011-Batteur-a-oeufs-electrique-sans-fil-4500.png"
"Cuisine","012-Batteur-electrique-portatif-6000.png","012-Batteur-electrique-portatif-6000.png"
"Cuisine","013-Batteur-electrique-portatif-blanc-5000.png","013-Batteur-electrique-portatif-blanc-5000.png"
"Cuisine","014-Batteur-electrique-pour-patisserie-5000.png","014-Batteur-electrique-pour-patisserie-5000.png"
"Cuisine","015-Batteur-electrique-sans-fil-2-en-1-5000.png","015-Batteur-electrique-sans-fil-2-en-1-5000.png"
"Cuisine","016-Batteur-manuel-3500.png","016-Batteur-manuel-3500.png"
"Cuisine","017-Melangeur-manuel-3000.png","017-Melangeur-manuel-3000.png"
"Cuisine","018-Cafetiere-electrique-turque-3500.png","018-Cafetiere-electrique-turque-3500.png"
"Cuisine","019-Ensemble-de-batterie-de-cuisine-10-pieces-12000.png","019-Ensemble-de-batterie-de-cuisine-10-pieces-12000.png"
"Cuisine","020-Lunch-box-electrique-7000.png","020-Lunch-box-electrique-7000.png"
"Cuisine","021-Robinet-electrique-chauffage-instantane-12000.png","021-Robinet-electrique-chauffage-instantane-12000.png"
"Cuisine","022-Coupe-frites-polyvalent-3500.png","022-Coupe-frites-polyvalent-3500.png"
"Cuisine","023-Mandoline-de-cuisine-multifonction-6000.png","023-Mandoline-de-cuisine-multifonction-6000.png"
"Cuisine","024-Presse-agrumes-electrique-5500.png","024-Presse-agrumes-electrique-5500.png"
"Cuisine","025-Rape-a-mais-multifonction-2500.png","025-Rape-a-mais-multifonction-2500.png"
"Cuisine","026-Trancheur-d-ananas-1500.png","026-Trancheur-d-ananas-1500.png"
"Cuisine","027-Trancheuse-a-fromage-tout-en-un-4000.png","027-Trancheuse-a-fromage-tout-en-un-4000.png"
"Cuisine","028-Boite-a-riz-anti-insectes-9000.png","028-Boite-a-riz-anti-insectes-9000.png"
"Cuisine","029-Boites-a-epices-magnetiques-3000.png","029-Boites-a-epices-magnetiques-3000.png"
"Cuisine","030-DISTRIBUTEUR-DE-RIZ-12L-GRANDE-CAPACITE-10000.png","030-DISTRIBUTEUR-DE-RIZ-12L-GRANDE-CAPACITE-10000.png"
"Cuisine","031-Egouttoir-a-couverts-3500.png","031-Egouttoir-a-couverts-3500.png"
"Cuisine","032-Egouttoir-reglable-pour-evier-4000.png","032-Egouttoir-reglable-pour-evier-4000.png"
"Cuisine","033-Etagere-de-rangement-3-niveaux-3500.png","033-Etagere-de-rangement-3-niveaux-3500.png"
"Cuisine","034-Etagere-reglable-sous-evier-5000.png","034-Etagere-reglable-sous-evier-5000.png"
"Cuisine","035-Filtre-a-eau-transparent-5000.png","035-Filtre-a-eau-transparent-5000.png"
"Cuisine","036-Organisateur-de-cuisine-rotatif-4000.png","036-Organisateur-de-cuisine-rotatif-4000.png"
"Cuisine","037-Pot-a-epices-retractable-1500.png","037-Pot-a-epices-retractable-1500.png"
"Cuisine","038-Balance-de-cuisine-numerique-3500.png","038-Balance-de-cuisine-numerique-3500.png"
"Cuisine","039-Planche-a-decouper-antibacterienne-7000.png","039-Planche-a-decouper-antibacterienne-7000.png"
"Cuisine","040-Hachage-rapide-cuisine-facile-2500.png","040-Hachage-rapide-cuisine-facile-2500.png"
"Eclairage","023-Lampe-magnetique-pour-selfie-4000.png","001-Lampe-magnetique-pour-selfie-4000.png"
