"Category","OldName","NewName","Status"
"Autres produits","039-Bouteille-isotherme-acier-inoxydable-5000.png","001-Bouteille-isotherme-acier-inoxydable-5000.png","Renamed"
"Autres produits","003-Cle-a-douilles-universelle-8-en-1-0000.png","002-Cle-a-douilles-universelle-8-en-1-0000.png","Renamed"
"Autres produits","004-Devidoir-de-tuyau-portable-0000.png","003-Devidoir-de-tuyau-portable-0000.png","Renamed"
"Autres produits","002-Gourde-isolee-sport-0000.png","004-Gourde-isolee-sport-0000.png","Renamed"
"Autres produits","001-Gourde-isotherme-coloree-0000.png","005-Gourde-isotherme-coloree-0000.png","Renamed"
"Autres produits","025-Lampe-de-camping-solaire-LED-3500.png","006-Lampe-de-camping-solaire-LED-3500.png","Renamed"
"Autres produits","027-Lampe-murale-solaire-intelligente-7500.png","007-Lampe-murale-solaire-intelligente-7500.png","Renamed"
"Autres produits","026-Lampe-solaire-d-exterieur-7500.png","008-Lampe-solaire-d-exterieur-7500.png","Renamed"
"Autres produits","024-Lampe-solaire-haute-performance-3500.png","009-Lampe-solaire-haute-performance-3500.png","Renamed"
"Autres produits","001-Pompe-a-air-electrique-compacte-2500.png","010-Pompe-a-air-electrique-compacte-2500.png","Renamed"
"Autres produits","002-Pompe-a-main-puissante-polyvalente-2000.png","011-Pompe-a-main-puissante-polyvalente-2000.png","Renamed"
"Autres produits","033-Projecteur-LED-solaire-7000.png","012-Projecteur-LED-solaire-7000.png","Renamed"
"Autres produits","0032-Projecteur-solaire-LED-puissant-6500.png","013-Projecteur-solaire-LED-puissant-6500.png","Renamed"
"Autres produits","034-Ventilateur-LED-camping-3-en-1-5500.png","014-Ventilateur-LED-camping-3-en-1-5500.png","Renamed"
"Beaute","011-Appareil-de-massage-raffermissant-4-en-1-5500.png","001-Appareil-de-massage-raffermissant-4-en-1-5500.png","Renamed"
"Beaute","002-Boucleur-automatique-rapide-7000.png","002-Boucleur-automatique-rapide-7000.png","AlreadyNamed"
"Beaute","003-Boucleur-francais-30-secondes-6000.png","003-Boucleur-francais-30-secondes-6000.png","AlreadyNamed"
"Beaute","004-Brosse-soufflante-3-en-1-6500.png","004-Brosse-soufflante-3-en-1-6500.png","AlreadyNamed"
"Beaute","012-Bustier-amincissant-5000.png","005-Bustier-amincissant-5000.png","Renamed"
"Beaute","013-Bustier-amincissant-sans-bretelles-5000.png","006-Bustier-amincissant-sans-bretelles-5000.png","Renamed"
"Beaute","008-Eclairage-miroir-parfait-0000.png","007-Eclairage-miroir-parfait-0000.png","Renamed"
"Beaute","001-Hot-air-styler-5-en-1-7500.png","008-Hot-air-styler-5-en-1-7500.png","Renamed"
"Beaute","007-Miroir-de-maquillage-LED-3000.png","009-Miroir-de-maquillage-LED-3000.png","Renamed"
"Beaute","010-Organisateur-maquillage-elegant-7500.png","010-Organisateur-maquillage-elegant-7500.png","AlreadyNamed"
"Beaute","006-Peigne-coiffant-3-en-1-3500.png","011-Peigne-coiffant-3-en-1-3500.png","Renamed"
"Beaute","005-Seche-cheveux-sans-fil-2-en-1-8000.png","012-Seche-cheveux-sans-fil-2-en-1-8000.png","Renamed"
"Beaute","009-Support-de-manucure-avec-loupe-et-lumiere-5000.png","013-Support-de-manucure-avec-loupe-et-lumiere-5000.png","Renamed"
"Cuisine","026-Balance-de-cuisine-numerique-3500.png","001-Balance-de-cuisine-numerique-3500.png","Renamed"
"Cuisine","019-Batteur-electrique-portatif-6000.png","002-Batteur-electrique-portatif-6000.png","Renamed"
"Cuisine","020-Batteur-electrique-portatif-blanc-5000.png","003-Batteur-electrique-portatif-blanc-5000.png","Renamed"
"Cuisine","017-Batteur-electrique-pour-patisserie-5000.png","004-Batteur-electrique-pour-patisserie-5000.png","Renamed"
"Cuisine","018-Batteur-electrique-sans-fil-2-en-1-5000.png","005-Batteur-electrique-sans-fil-2-en-1-5000.png","Renamed"
